3-12-2025 22:13:04 - log: Load engine in /Applications/Cocos/Creator/3.8.5/CocosCreator.app/Contents/Resources/resources/3d/engine
3-12-2025 22:13:04 - log: Profile changed: engine (modules.includeModules: 2d,animation,audio,base,custom-pipeline,dragon-bones,gfx-webgl,gfx-webgl2,intersection-2d,particle-2d,physics-2d-box2d,profiler,spine,tiled-map,tween,ui,video,webview)
3-12-2025 22:13:04 - log: Register native engine in /Applications/Cocos/Creator/3.8.5/CocosCreator.app/Contents/Resources/resources/3d/engine/native
3-12-2025 22:13:05 - log: Request namespace: device-list
3-12-2025 22:13:14 - log: [Scene] meshopt wasm decoder initialized
3-12-2025 22:13:14 - log: [Scene] [box2d]:box2d wasm lib loaded.
3-12-2025 22:13:14 - log: [Scene] [bullet]:bullet wasm lib loaded.
3-12-2025 22:13:14 - log: [Scene] [PHYSICS]: using builtin.
3-12-2025 22:13:14 - log: [Scene] Cocos Creator v3.8.5
3-12-2025 22:13:14 - log: [Scene] Using custom pipeline: Builtin
3-12-2025 22:13:14 - log: [Scene] [PHYSICS2D]: switch from box2d-wasm to box2d.
3-12-2025 23:09:11 - info: [PreviewInEditor] 预览环境初始化完毕
3-12-2025 23:09:14 - log: [PreviewInEditor] meshopt wasm decoder initialized
3-12-2025 23:09:14 - log: [PreviewInEditor] [box2d]:box2d wasm lib loaded.
3-12-2025 23:09:14 - log: [PreviewInEditor] [bullet]:bullet wasm lib loaded.
3-12-2025 23:09:14 - log: [PreviewInEditor] [PHYSICS]: using builtin.
3-12-2025 23:09:14 - log: [PreviewInEditor] Cocos Creator v3.8.5
3-12-2025 23:09:14 - log: [PreviewInEditor] Using custom pipeline: Builtin
3-12-2025 23:09:14 - log: [PreviewInEditor] [PHYSICS2D]: switch from box2d-wasm to box2d.
3-12-2025 23:09:15 - log: [PreviewInEditor] start-Bg-scene
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
3-12-2025 23:09:15 - log: [PreviewInEditor] update-Bg-scene122
